
商品UID      SKU                  更新庫存      
----------------------------------------
7809       GM01087UW010M        424       
7810       GM01088UW190M        359       
7811       GM01088UW190L        322       
7812       GM01087UW010L        504       
7813       GM01087UW01XL        242       
7814       GM01088UW19XL        179       
7815       GM01088UW192X        170       
7816       GM01087UW012X        63        
7818       GM01022UW020M        202       
7819       GM01032UW020S        0         
7820       GM01022UW020L        185       
7821       GM01022UW020S        0         
7822       GM01022UW023X        21        
7823       GM01022UW02XL        36        
7824       GM01020UW010S        48        
7825       GM01020UW010M        88        
7826       GM01020UW010L        153       
7827       GM01020UW01XL        108       
7828       GM01020UW012X        97        
7829       GM01021UW160S        0         
7830       GM01021UW160M        0         
7831       GM01021UW160L        0         
7832       GM01021UW16XL        0         
7833       GM01021UW162X        67        
7834       GM01021UW163X        12        
7835       GM01018UW010S        381       
7836       GM01018UW010M        118       
7837       GM01018UW010L        70        
7838       GM01018UW01XL        101       
7839       GM01018UW012X        48        
7840       GM01018UW013X        74        
7841       GM01023UW010S        75        
7842       GM01023UW010M        112       
7843       GM01023UW010L        92        
7844       GM01023UW01XL        46        
7845       GM01023UW012X        54        
7846       GM01023UW013X        59        
7847       GM01111UWW10F        163       
7848       GM01122UW182X        71        
7849       GM01122UW180L        117       
7850       GM01111UWP10F        69        
7851       GM01111UWP20F        66        
7852       GM01122UW18XL        473       
7853       GM01037BP9901        509       
7854       GM01010WL9925        0         
7855       GM18001PS0001        36        
7856       GM01085BP0001        1         
7861       GM01006OW010S        0         
7862       GM01006OW010M        19        
7863       GM01006OW01XL        30        
7864       GM01068UW180M        0         
7865       GM01068UW180L        0         
7866       GM01068UW182X        0         
7867       GM01086UW010M        9         
7868       GM01086UW010L        0         
7869       GM01086UW01XL        202       
7870       GM01090UW130S        0         
7871       GM01090UW130L        0         
7872       GM01090UW132X        66        
7873       GM01107UW010M        111       
7874       GM01107UW010L        516       
7875       GM01107UW01XL        358       
7876       GM01107UW012X        13        
7877       GM01109UW012X        1         
7878       GM01110UW180M        0         
7879       GM01110UW18XL        1         
7880       GM01110UW182X        1         
7881       GM01068UW18XL        0         
7883       GM01141UW03XS        0         
7885       GM01141UW030S        0         
7887       GM01141UW030M        0         
7889       GM01141UW030L        0         
7891       GM01142UW01XS        0         
7893       GM01142UW010S        0         
7895       GM01142UW010M        0         
7897       GM01142UW010L        0         
7899       GM01143UW02XS        0         
7901       GM01143UW020S        0         
7903       GM01143UW020M        0         
7905       GM01143UW020L        0         
7907       GM04001WL0050        4         
7908       GM03010CU05CL        0         
7913       GM01053BP0103        0         
7914       GM01089UW012X        114       
7915       GM01109UW010M        93        
7916       GM01109UW010L        137       
7917       GM01109UW01XL        134       
7918       GM01089UW01XL        0         
7919       GM01010WL9910        0         
7920       GM01020UW013X        15        
7921       GM01022UW022X        493       
7922       GM01086UW012X        235       
7923       GM01090UW130M        0         
7924       GM01090UW13XL        204       
7925       GM01110UW180L        0         
7926       GM01054UW010L        0         
7927       GM01054UW01XL        0         
7928       GM01055UW120L        0         
7929       GM01055UW12XL        0         
7930       GM01058UW17XL        0         
7931       GM01106UW050L        0         
7932       GM01106UW05XL        0         
7937       GM01091OW010M        12        
7938       GM01091OW010L        47        
7939       GM01091OW01XL        17        
7940       GM01092OW01XL        14        
7946       GM01006OW010L        7         
7947       GM01016OW170S        0         
7948       GM01016OW170M        18        
7949       GM01016OW170L        4         
7950       GM01016OW17XL        15        
7951       GM01007OW010S        0         
7952       GM01007OW010M        0         
7953       GM01007OW010L        0         
7954       GM01007OW01XL        0         
7980       GM01122UW180M        526       
7981       GM01024UW130S        0         
7982       GM01024UW130M        0         
7983       GM01024UW130L        0         
7984       GM01024UW13XL        0         
7985       GM01024UW132X        83        
7986       GM01024UW133X        244       
7987       GM01072CS0119        26        
7988       GM01072CS0123        26        
7989       GM01072CS0128        15        
7990       GM01102CS0323        0         
7991       GM01102CS0328        0         
7992       GM01104CS1223        0         
7993       GM01104CS1228        0         
7994       GM01080CS0519        0         
7995       GM01080CS0523        0         
7996       GM01080CS0528        0         
7997       GM01081CS0119        0         
7998       GM01081CS0123        0         
7999       GM01081CS0128        0         
8000       GM01079CS1119        0         
8001       GM01076CS1219        0         
8002       GM01076CS1228        0         
8003       GM01103CS2223        0         
8004       GM01103CS2228        0         
8005       GM01029CS0123        18        
8006       GM01030CS0128        16        
8007       GM01029CS1123        16        
8008       GM01030CS1128        23        
8009       GM01030CS1028        16        
8010       GM01029CS1723        14        
8011       GM01030CS1728        12        
8012       GM01029CS0323        11        
8013       GM01030CS0328        8         
